[Thu Feb 27 02:22:20.902174 2020] [php7:emerg] [pid 11801] [client 192.168.20.16:62500] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting ',' or ';' in /home/bnhfijvh-m2/upload.php on line 34, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:22:31.402943 2020] [php7:emerg] [pid 11804] [client 192.168.20.16:62503] PHP Parse error:  syntax error, unexpected 'imagepng' (T_STRING) in /home/bnhfijvh-m2/upload.php on line 48, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:22:40.590374 2020] [php7:notice] [pid 11807] [client 192.168.20.16:62504] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:22:40.591648 2020] [php7:notice] [pid 11807] [client 192.168.20.16:62504] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:22:47.641171 2020] [php7:notice] [pid 11809] [client 192.168.20.16:62506] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:22:47.642221 2020] [php7:notice] [pid 11809] [client 192.168.20.16:62506] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:22:53.358544 2020] [php7:notice] [pid 11810] [client 192.168.20.16:62507] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:22:53.359475 2020] [php7:notice] [pid 11810] [client 192.168.20.16:62507] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:05.313612 2020] [php7:notice] [pid 11918] [client 192.168.20.16:62510] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:05.314709 2020] [php7:notice] [pid 11918] [client 192.168.20.16:62510] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:10.737234 2020] [php7:notice] [pid 11921] [client 192.168.20.16:62509] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:10.737525 2020] [php7:notice] [pid 11921] [client 192.168.20.16:62509] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:26.233085 2020] [php7:notice] [pid 11924] [client 192.168.20.16:62513] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:26.234203 2020] [php7:notice] [pid 11924] [client 192.168.20.16:62513] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:26.234308 2020] [php7:notice] [pid 11924] [client 192.168.20.16:62513] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 32, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:29.977037 2020] [php7:notice] [pid 11924] [client 192.168.20.16:62513] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:29.978062 2020] [php7:notice] [pid 11924] [client 192.168.20.16:62513] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:29.978109 2020] [php7:notice] [pid 11924] [client 192.168.20.16:62513] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 32, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:34.680578 2020] [php7:notice] [pid 11924] [client 192.168.20.16:62513] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:34.681503 2020] [php7:notice] [pid 11924] [client 192.168.20.16:62513] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:34.681551 2020] [php7:notice] [pid 11924] [client 192.168.20.16:62513] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 32, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:56.023118 2020] [php7:emerg] [pid 11930] [client 192.168.20.16:62514] PHP Parse error:  syntax error, unexpected '$size' (T_VARIABLE) in /home/bnhfijvh-m2/upload.php on line 43, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:23:57.435712 2020] [php7:emerg] [pid 11931] [client 192.168.20.16:62515] PHP Parse error:  syntax error, unexpected '$size' (T_VARIABLE) in /home/bnhfijvh-m2/upload.php on line 43, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:01.415123 2020] [php7:emerg] [pid 11932] [client 192.168.20.16:62516] PHP Parse error:  syntax error, unexpected 'imagepng' (T_STRING) in /home/bnhfijvh-m2/upload.php on line 48, referer: http://bnhfijvh-m2.wsr.ru/upload.php
